,title,year,genre,ratting
0,Peacemaker,(2022– ),"Action, Adventure, Comedy",8.4
1,Moon Knight,(2022– ),"Action, Adventure, Drama", 
2,The Lord of the Rings: The Rings of Power,(2022– ),"Action, Adventure, Drama", 
3,The Witcher,(2019– ),"Action, Adventure, Drama",8.2
4,Shingeki no Kyojin,(2013–2022),"Animation, Action, Adventure",9.0
5,Game of Thrones,(2011–2019),"Action, Adventure, Drama",9.2
6,Station Eleven,(2021–2022),"Adventure, Drama, Fantasy",7.7
7,A Discovery of Witches,(2018–2022),"Drama, Fantasy, Romance",8.0
8,The Mandalorian,(2019– ),"Action, Adventure, Fantasy",8.8
9,The Wheel of Time,(2021– ),"Action, Adventure, Drama",7.2
10,Daredevil,(2015–2018),"Action, Crime, Drama",8.6
11,Demon Slayer: Kimetsu No Yaiba,(2019– ),"Animation, Action, Adventure",8.7
12,Arcane: League of Legends,(2021– ),"Animation, Action, Adventure",9.1
13,Wolf Like Me,(2022– ),"Comedy, Fantasy, Romance",7.4
14,Supernatural,(2005–2020),"Drama, Fantasy, Horror",8.4
15,Stranger Things,(2016– ),"Drama, Fantasy, Horror",8.7
16,Ghosts,(2021– ),"Comedy, Fantasy",7.6
17,Outlander,(2014– ),"Drama, Fantasy, Romance",8.4
18,One Piece: Wan pîsu,(1999– ),"Animation, Action, Adventure",8.7
19,Lucifer,(2016–2021),"Crime, Drama, Fantasy",8.1
20,Titans,(I) (2018– ),"Action, Adventure, Crime",7.6
21,Midnight Mass,(2021),"Drama, Fantasy, Horror",7.7
22,House of the Dragon,(2022– ),"Action, Adventure, Drama", 
23,Dota: Dragon's Blood,(2021– ),"Animation, Action, Adventure",7.9
24,Lost,(2004–2010),"Adventure, Drama, Fantasy",8.3
25,The Vampire Diaries,(2009–2017),"Drama, Fantasy, Horror",7.7
26,Loki,(2021– ),"Action, Adventure, Fantasy",8.3
27,The Legend of Vox Machina,(2022– ),"Animation, Action, Adventure",9.4
28,Raised by Wolves,(2020– ),"Drama, Fantasy, Sci-Fi",7.5
29,WandaVision,(2021),"Action, Comedy, Drama",8.0
30,Shadow and Bone,(2021– ),"Action, Adventure, Drama",7.7
31,What We Do in the Shadows,(2016– ),"Comedy, Fantasy, Horror",8.6
32,Locke & Key,(2020– ),"Drama, Fantasy, Horror",7.4
33,Buffy the Vampire Slayer,(1997–2003),"Action, Drama, Fantasy",8.2
34,The Umbrella Academy,(2019– ),"Action, Adventure, Comedy",8.0
35,Once Upon a Time,(2011–2018),"Adventure, Fantasy, Romance",7.7
36,Ghosts,(2019– ),"Comedy, Fantasy",8.3
37,Legacies,(2018– ),"Adventure, Drama, Fantasy",7.4
38,Invincible,(2021– ),"Animation, Action, Adventure",8.7
39,True Blood,(2008–2014),"Drama, Fantasy, Mystery",7.8
40,The Originals,(2013–2018),"Drama, Fantasy, Horror",8.2
41,Britannia,(2017– ),"Action, Drama, Fantasy",6.8
42,Star Wars: The Clone Wars,(2008–2020),"Animation, Action, Adventure",8.3
43,The Good Place,(2016–2020),"Comedy, Drama, Fantasy",8.2
44,The Leftovers,(2014–2017),"Drama, Fantasy, Mystery",8.3
45,Charmed,(1998–2006),"Drama, Fantasy, Mystery",7.1
46,Teen Wolf,(2011–2017),"Action, Drama, Fantasy",7.6
47,Invasion,(2021– ),"Drama, Fantasy, Sci-Fi",6.0
48,His Dark Materials,(2019–2022),"Adventure, Drama, Family",7.9
49,Jigeum Uri Hakgyoneun,(2022– ),"Action, Drama, Fantasy",8.3
50,Avatar: The Last Airbender,(2005–2008),"Animation, Action, Adventure",9.3
51,Carnival Row,(2019– ),"Crime, Drama, Fantasy",7.8
52,The Nevers,(2021– ),"Action, Drama, Fantasy",7.4
53,Boku no hîrô akademia,(2016– ),"Animation, Action, Adventure",8.4
54,The Cuphead Show!,(2022– ),"Animation, Action, Adventure", 
55,The Stand,(2020–2021),"Adventure, Drama, Fantasy",5.5
56,Ms. Marvel,(2022– ),"Action, Adventure, Comedy", 
57,Grimm,(2011–2017),"Crime, Drama, Fantasy",7.8
58,Ironheart,,"Action, Adventure, Drama", 
59,Reign,(2013–2017),"Drama, Fantasy",7.5
60,Naruto: Shippûden,(2007–2017),"Animation, Action, Adventure",8.6
61,JoJo no kimyô-na bôken,(2012– ),"Animation, Action, Adventure",8.4
62,Nancy Drew,(2019– ),"Drama, Fantasy, Horror",6.6
63,The Outsider,(2020),"Crime, Drama, Fantasy",7.7
64,The Defenders,(2017),"Action, Adventure, Crime",7.2
65,Iron Fist,(2017–2018),"Action, Adventure, Crime",6.4
66,Death Note: Desu nôto,(2006–2007),"Animation, Crime, Drama",9.0
67,Hunter x Hunter,(2011–2014),"Animation, Action, Adventure",9.0
68,The Twilight Zone,(1959–1964),"Drama, Fantasy, Horror",9.0
69,Jujutsu Kaisen,(2020– ),"Animation, Action, Adventure",8.7
70,Star Wars: The Bad Batch,(2021– ),"Animation, Action, Adventure",7.9
71,Jiok,(2021– ),"Crime, Drama, Fantasy",6.7
72,The Sandman,(2022– ),"Drama, Fantasy, Horror", 
73,Good Omens,(2019),"Comedy, Fantasy",8.1
74,Miraculous: Tales of Ladybug & Cat Noir,(2015– ),"Animation, Action, Adventure",7.7
